INCIDENT_ID,DATA_YEAR,OFFENSE_TYPES,SUM_OFFENSE_RECORDS
79964,2016,Motor Vehicle Theft,23
79965,2016,Murder and Nonnegligent Manslaughter,5
79966,2016,Negligent Manslaughter,0
79967,2016,Not Specified,37
79968,2016,Pocket-picking,1
79969,2016,Pornography/Obscene Material,2
79970,2016,Prostitution,0
79971,2016,Purchasing Prostitution,0
79972,2016,Purse-snatching,0
79973,2016,Rape,17
79974,2016,Robbery,138
79975,2016,Sexual Assault With An Object,2
79976,2016,Shoplifting,41
79977,2016,Simple Assault,1483
79978,2016,Sodomy,6
79979,2016,Statutory Rape,1
79980,2016,Stolen Property Offenses,10
79981,2016,Theft From Building,30
79982,2016,Theft From Coin-Operated Machine or Device,0
79983,2016,Theft From Motor Vehicle,39
79984,2016,Theft of Motor Vehicle Parts or Accessories,9
79985,2016,Weapon Law Violations,34
79986,2016,Welfare Fraud,0
79987,2016,Wire Fraud,0
79988,2017,Aggravated Assault,798
79989,2017,All Other Larceny,150
79990,2017,Animal Cruelty,0
79991,2017,Arson,44
79992,2017,Assisting or Promoting Prostitution,2
79993,2017,Betting/Wagering,1
79994,2017,Bribery,0
79995,2017,Burglary/Breaking & Entering,158
79996,2017,Counterfeiting/Forgery,15
79997,2017,Credit Card/Automated Teller Machine Fraud,7
79998,2017,Destruction/Damage/Vandalism of Property,2373
79999,2017,Drug Equipment Violations,52
80000,2017,Drug/Narcotic Violations,135
80001,2017,Embezzlement,4
80002,2017,Extortion/Blackmail,3
80003,2017,False Pretenses/Swindle/Confidence Game,20
80004,2017,Fondling,15
80005,2017,Hacking/Computer Invasion,2
80006,2017,"Human Trafficking, Commercial Sex Acts",1
80007,2017,Identity Theft,7
80008,2017,Impersonation,8
80009,2017,Incest,0
80010,2017,Intimidation,1854
80011,2017,Kidnapping/Abduction,9
80012,2017,Motor Vehicle Theft,40
80013,2017,Murder and Nonnegligent Manslaughter,14
80014,2017,Negligent Manslaughter,0
80015,2017,Not Specified,49
80016,2017,Pocket-picking,3
80017,2017,Pornography/Obscene Material,6
80018,2017,Prostitution,1
80019,2017,Purchasing Prostitution,1
80020,2017,Purse-snatching,2
80021,2017,Rape,17
80022,2017,Robbery,154
80023,2017,Sexual Assault With An Object,5
80024,2017,Shoplifting,60
80025,2017,Simple Assault,1449
80026,2017,Sodomy,2
80027,2017,Statutory Rape,2
80028,2017,Stolen Property Offenses,13
80029,2017,Theft From Building,31
80030,2017,Theft From Coin-Operated Machine or Device,0
80031,2017,Theft From Motor Vehicle,56
80032,2017,Theft of Motor Vehicle Parts or Accessories,3
80033,2017,Weapon Law Violations,33
80034,2017,Welfare Fraud,0
80035,2017,Wire Fraud,1
80036,2018,Aggravated Assault,836
80037,2018,All Other Larceny,146
80038,2018,Animal Cruelty,2
80039,2018,Arson,44
80040,2018,Assisting or Promoting Prostitution,0
80041,2018,Betting/Wagering,0
80042,2018,Bribery,2
80043,2018,Burglary/Breaking & Entering,137
80044,2018,Counterfeiting/Forgery,18
80045,2018,Credit Card/Automated Teller Machine Fraud,14
80046,2018,Destruction/Damage/Vandalism of Property,1910
80047,2018,Drug Equipment Violations,56
80048,2018,Drug/Narcotic Violations,132
80049,2018,Embezzlement,5
80050,2018,Extortion/Blackmail,4
80051,2018,False Pretenses/Swindle/Confidence Game,18
80052,2018,Fondling,15
80053,2018,Hacking/Computer Invasion,0
80054,2018,"Human Trafficking, Commercial Sex Acts",0
80055,2018,Identity Theft,9
80056,2018,Impersonation,8
80057,2018,Incest,0
80058,2018,Intimidation,1989
80059,2018,Kidnapping/Abduction,10
80060,2018,Motor Vehicle Theft,46
80061,2018,Murder and Nonnegligent Manslaughter,12
80062,2018,Negligent Manslaughter,0
80063,2018,Not Specified,49
80064,2018,Pocket-picking,0
80065,2018,Pornography/Obscene Material,8
80066,2018,Prostitution,0
80067,2018,Purchasing Prostitution,0
80068,2018,Purse-snatching,4
80069,2018,Rape,12
80070,2018,Robbery,134
80071,2018,Sexual Assault With An Object,8
80072,2018,Shoplifting,49
80073,2018,Simple Assault,1675
80074,2018,Sodomy,3
80075,2018,Statutory Rape,1
80076,2018,Stolen Property Offenses,12
80077,2018,Theft From Building,21
80078,2018,Theft From Coin-Operated Machine or Device,0
80079,2018,Theft From Motor Vehicle,51
80080,2018,Theft of Motor Vehicle Parts or Accessories,9
80081,2018,Weapon Law Violations,45
80082,2018,Welfare Fraud,1
80083,2018,Wire Fraud,5
80084,2019,Aggravated Assault,879
80085,2019,All Other Larceny,121
80086,2019,Animal Cruelty,0
80087,2019,Arson,59
80088,2019,Assisting or Promoting Prostitution,0
80089,2019,Betting/Wagering,0
80090,2019,Bribery,0
80091,2019,Burglary/Breaking & Entering,121
80092,2019,Counterfeiting/Forgery,4
80093,2019,Credit Card/Automated Teller Machine Fraud,11
80094,2019,Destruction/Damage/Vandalism of Property,2223
80095,2019,Drug Equipment Violations,51
80096,2019,Drug/Narcotic Violations,106
80097,2019,Embezzlement,2
80098,2019,Extortion/Blackmail,4
80099,2019,False Pretenses/Swindle/Confidence Game,14
80100,2019,Fondling,19
80101,2019,Hacking/Computer Invasion,0
80102,2019,"Human Trafficking, Commercial Sex Acts",2
80103,2019,Identity Theft,8
80104,2019,Impersonation,6
80105,2019,Incest,0
80106,2019,Intimidation,2345
80107,2019,Kidnapping/Abduction,11
80108,2019,Motor Vehicle Theft,32
80109,2019,Murder and Nonnegligent Manslaughter,19
80110,2019,Negligent Manslaughter,1
80111,2019,Not Specified,27
80112,2019,Pocket-picking,1
80113,2019,Pornography/Obscene Material,5
80114,2019,Prostitution,1
80115,2019,Purchasing Prostitution,0
80116,2019,Purse-snatching,1
80117,2019,Rape,15
80118,2019,Robbery,124
80119,2019,Sexual Assault With An Object,11
80120,2019,Shoplifting,40
80121,2019,Simple Assault,1775
80122,2019,Sodomy,3
80123,2019,Statutory Rape,1
80124,2019,Stolen Property Offenses,6
80125,2019,Theft From Building,20
80126,2019,Theft From Coin-Operated Machine or Device,1
80127,2019,Theft From Motor Vehicle,32
80128,2019,Theft of Motor Vehicle Parts or Accessories,7
80129,2019,Weapon Law Violations,40
80130,2019,Welfare Fraud,0
80131,2019,Wire Fraud,0
80132,2020,Aggravated Assault,1155
80133,2020,All Other Larceny,286
80134,2020,Animal Cruelty,6
80135,2020,Arson,76
80136,2020,Assisting or Promoting Prostitution,1
80137,2020,Betting/Wagering,0
80138,2020,Bribery,0
80139,2020,Burglary/Breaking & Entering,172
80140,2020,Counterfeiting/Forgery,19
80141,2020,Credit Card/Automated Teller Machine Fraud,18
80142,2020,Destruction/Damage/Vandalism of Property,2669
80143,2020,Drug Equipment Violations,68
80144,2020,Drug/Narcotic Violations,158
80145,2020,Embezzlement,0
80146,2020,Extortion/Blackmail,6
80147,2020,False Pretenses/Swindle/Confidence Game,39
80148,2020,Fondling,21
80149,2020,Hacking/Computer Invasion,5
80150,2020,"Human Trafficking, Commercial Sex Acts",0
80151,2020,Identity Theft,18
80152,2020,Impersonation,16
80153,2020,Incest,0
80154,2020,Intimidation,3217
80155,2020,Kidnapping/Abduction,10
80156,2020,Motor Vehicle Theft,54
80157,2020,Murder and Nonnegligent Manslaughter,22
80158,2020,Negligent Manslaughter,2
80159,2020,Not Specified,32
80160,2020,Pocket-picking,2
80161,2020,Pornography/Obscene Material,18
80162,2020,Prostitution,1
80163,2020,Purchasing Prostitution,0
80164,2020,Purse-snatching,1
80165,2020,Rape,22
80166,2020,Robbery,148
80167,2020,Sexual Assault With An Object,5
80168,2020,Shoplifting,76
80169,2020,Simple Assault,2065
80170,2020,Sodomy,6
80171,2020,Statutory Rape,4
80172,2020,Stolen Property Offenses,11
80173,2020,Theft From Building,39
80174,2020,Theft From Coin-Operated Machine or Device,0
80175,2020,Theft From Motor Vehicle,63
80176,2020,Theft of Motor Vehicle Parts or Accessories,16
80177,2020,Weapon Law Violations,82
80178,2020,Welfare Fraud,4
80179,2020,Wire Fraud,3
